code,name,energy_kcal,protein_g,fat_g,carb_g,calcium_mg,bdd_pct,state,group,portion_g_cooked,note
DK001,Susu sapi full cream (whole milk),61,3.2,3.3,4.8,120,100,Olahan,Susu,200,Whole cow milk · per 100ml · conf:high · Estimasi
DK002,"Susu rendah lemak (low-fat, 2%)",50,3.4,2.0,4.9,125,100,Olahan,Susu,200,Low-fat milk · per 100ml · conf:high · Estimasi
DK003,Susu skim / bebas lemak (non-fat),35,3.4,0.1,5.0,125,100,Olahan,Susu,200,Skim / non-fat milk · per 100ml · conf:high · Estimasi
DK004,Susu UHT full cream,63,3.2,3.5,4.7,120,100,Olahan,Susu,250,UHT whole milk · per 100ml · conf:high · Estimasi
DK005,Susu coklat,83,3.2,2.5,12.0,110,100,Olahan,Susu,250,Chocolate milk · per 100ml · conf:high · Estimasi
DK006,Susu kental manis (condensed milk),321,7.9,8.7,54.4,280,100,Olahan,Susu,30,Sweetened condensed milk · per 100g · conf:high · Estimasi
DK007,Susu evaporasi (evaporated milk),135,6.8,7.6,10.0,260,100,Olahan,Susu,30,Evaporated milk · per 100ml · conf:high · Estimasi
DK008,Susu kambing (goat milk),69,3.6,4.1,4.5,134,100,Olahan,Susu,200,Goat milk · per 100ml · conf:high · Estimasi
DK009,"Susu kedelai tawar (soy milk, unsweetened)",43,3.3,1.8,3.0,25,100,Olahan,Susu,250,Unsweetened soy milk · per 100ml · conf:high · Estimasi
DK010,"Susu kedelai manis (soy milk, sweetened)",60,3.0,1.8,8.0,25,100,Olahan,Susu,250,Sweetened soy milk · per 100ml · conf:high · Estimasi
DK011,Almond milk tawar (unsweetened),15,0.5,1.1,0.6,180,100,Olahan,Susu,250,"Unsweetened almond milk, Ca-fortified · per 100ml · conf:high · Estimasi"
DK012,Almond milk manis (sweetened),24,0.5,1.1,3.5,180,100,Olahan,Susu,250,Sweetened almond milk · per 100ml · conf:high · Estimasi
DK013,Oat milk,45,1.0,1.5,6.7,120,100,Olahan,Susu,250,"Oat milk, fortified · per 100ml · conf:high · Estimasi"
DK014,Oat milk barista,59,1.1,3.0,6.8,120,100,Olahan,Susu,250,Barista oat milk (higher fat) · per 100ml · conf:high · Estimasi
DK015,Susu beras (rice milk),47,0.3,1.0,9.2,120,100,Olahan,Susu,250,"Rice milk, fortified · per 100ml · conf:med · Estimasi"
DK016,Macadamia milk (unsweetened),30,0.4,3.0,0.8,120,100,Olahan,Susu,250,Macadamia milk · per 100ml · conf:med · Estimasi
DK017,Susu bubuk (milk powder),496,26.0,27.0,38.0,912,100,Olahan,Susu,25,Whole milk powder · per 100g · conf:high · Estimasi
DK018,Yogurt drink (yakult-style),65,1.0,0.1,15.0,40,100,Olahan,Susu,100,Cultured milk drink · per 100ml · conf:high · Estimasi
DK019,Greek yogurt drink (plain),60,5.7,0.4,7.0,110,100,Olahan,Susu,150,Drinkable Greek yogurt · per 100ml · conf:med · Estimasi
DK020,Kefir plain,55,3.3,1.5,4.5,120,100,Olahan,Susu,200,Kefir · per 100ml · conf:med · Estimasi
DK021,Espresso,9,0.1,0.2,1.7,,100,Olahan,Minuman,30,Espresso shot · per 100ml · conf:high · Estimasi
DK022,Americano,4,0.1,0.0,0.6,,100,Olahan,Minuman,240,"Americano, no sugar · per 100ml · conf:high · Estimasi"
DK023,Kopi hitam tanpa gula (black coffee),2,0.1,0.0,0.0,,100,Olahan,Minuman,240,"Black coffee, unsweetened · per 100ml · conf:high · Estimasi"
DK024,Cappuccino (whole milk),40,2.2,2.0,3.2,70,100,Olahan,Minuman,200,Cappuccino · per 100ml · conf:high · Estimasi
DK025,Caffe latte (whole milk),55,3.0,3.0,4.5,100,100,Olahan,Minuman,240,Caffe latte · per 100ml · conf:high · Estimasi
DK026,Flat white,60,3.4,3.2,4.8,110,100,Olahan,Minuman,180,Flat white · per 100ml · conf:high · Estimasi
DK027,Caramel macchiato,70,2.5,2.5,9.5,80,100,Olahan,Minuman,240,Caramel macchiato (Starbucks-style) · per 100ml · conf:med · Estimasi
DK028,Vanilla latte,75,2.5,2.4,11.0,85,100,Olahan,Minuman,240,Vanilla latte · per 100ml · conf:med · Estimasi
DK029,Hazelnut latte,78,2.5,2.5,11.5,85,100,Olahan,Minuman,240,Hazelnut latte · per 100ml · conf:med · Estimasi
DK030,Cafe mocha,90,2.8,3.5,12.5,90,100,Olahan,Minuman,240,Cafe mocha · per 100ml · conf:med · Estimasi
DK031,Cold brew (tanpa gula),5,0.2,0.0,0.5,,100,Olahan,Minuman,240,"Cold brew, no sugar · per 100ml · conf:high · Estimasi"
DK032,Es kopi susu gula aren,65,1.3,2.2,10.0,45,100,Olahan,Minuman,250,Iced palm-sugar milk coffee · per 100ml · conf:high · Estimasi
DK033,Kopi Kenangan Mantan (es kopi susu aren),68,1.3,2.3,10.5,45,100,Olahan,Minuman,250,Kopi Kenangan signature · per 100ml · conf:med · Estimasi
DK034,Janji Jiwa Kopi Susu,66,1.3,2.2,10.2,45,100,Olahan,Minuman,250,Janji Jiwa kopi susu · per 100ml · conf:med · Estimasi
DK035,Fore Aren Latte,67,1.3,2.2,10.3,45,100,Olahan,Minuman,250,Fore aren latte · per 100ml · conf:med · Estimasi
DK036,Caramel Frappuccino,120,2.0,3.0,21.0,70,100,Olahan,Minuman,350,Blended caramel frappe · per 100ml · conf:med · Estimasi
DK037,Java Chip Frappuccino,140,2.5,4.5,23.0,80,100,Olahan,Minuman,350,Java chip frappe · per 100ml · conf:med · Estimasi
DK038,Mocha Frappuccino,115,2.2,3.2,20.0,75,100,Olahan,Minuman,350,Mocha frappe · per 100ml · conf:med · Estimasi
DK039,Affogato,90,2.0,4.5,10.0,60,100,Olahan,Minuman,120,Espresso over ice cream · per 100ml · conf:med · Estimasi
DK040,Cappuccino skinny (skim),26,2.5,0.2,3.6,80,100,Olahan,Minuman,200,Skinny cappuccino · per 100ml · conf:med · Estimasi
DK041,Teh tawar (plain tea),1,0.0,0.0,0.3,,100,Olahan,Minuman,240,Plain unsweetened tea · per 100ml · conf:high · Estimasi
DK042,Es teh manis,30,0.0,0.0,7.5,,100,Olahan,Minuman,250,Sweet iced tea · per 100ml · conf:high · Estimasi
DK043,Teh susu / milk tea,70,1.5,2.0,11.5,50,100,Olahan,Minuman,250,Milk tea · per 100ml · conf:high · Estimasi
DK044,Teh tarik,68,1.6,2.4,10.5,55,100,Olahan,Minuman,240,Pulled milk tea · per 100ml · conf:high · Estimasi
DK045,Thai tea / Thai milk tea,92,1.2,3.0,15.5,45,100,Olahan,Minuman,300,Thai milk tea · per 100ml · conf:med · Estimasi
DK046,Brown sugar boba milk (with pearls),95,1.0,2.0,18.5,40,100,Olahan,Minuman,500,Brown sugar boba milk · per 100ml · conf:med · Estimasi
DK047,Taro milk tea,85,1.2,2.2,15.0,40,100,Olahan,Minuman,500,Taro milk tea · per 100ml · conf:med · Estimasi
DK048,Matcha latte / green tea latte,80,2.5,2.8,11.5,90,100,Olahan,Minuman,240,Matcha latte · per 100ml · conf:med · Estimasi
DK049,Matcha milk tea,78,1.5,2.2,13.0,45,100,Olahan,Minuman,500,Matcha milk tea · per 100ml · conf:med · Estimasi
DK050,Chai latte,90,2.5,2.5,14.0,90,100,Olahan,Minuman,240,Chai latte · per 100ml · conf:med · Estimasi
DK051,Lemon tea,32,0.1,0.0,8.0,,100,Olahan,Minuman,300,Lemon tea · per 100ml · conf:high · Estimasi
DK052,"Boba / tapioca pearls (cooked, gula)",160,0.2,0.1,39.0,,100,Olahan,Minuman,50,Sweetened cooked tapioca pearls · per 100g · conf:med · Estimasi
DK053,Teazzi signature milk tea,82,1.3,2.2,14.0,45,100,Olahan,Minuman,500,Teazzi milk tea · per 100ml · conf:med · Estimasi
DK054,Chatime pearl milk tea,88,1.2,2.2,16.0,40,100,Olahan,Minuman,500,Chatime pearl milk tea · per 100ml · conf:med · Estimasi
DK055,Xing Fu Tang brown sugar boba,100,1.0,2.2,19.0,40,100,Olahan,Minuman,500,Xing Fu Tang boba · per 100ml · conf:med · Estimasi
DK056,Es cincau (grass jelly drink),45,0.3,0.2,11.0,15,100,Olahan,Minuman,300,Grass jelly drink · per 100ml · conf:med · Estimasi
DK057,Jus jeruk (orange juice),45,0.7,0.2,10.4,11,100,Olahan,Minuman,250,Orange juice · per 100ml · conf:high · Estimasi
DK058,Jus apel (apple juice),46,0.1,0.1,11.3,8,100,Olahan,Minuman,250,Apple juice · per 100ml · conf:high · Estimasi
DK059,Jus mangga (mango juice),54,0.4,0.2,13.0,10,100,Olahan,Minuman,250,Mango juice · per 100ml · conf:med · Estimasi
DK060,Air kelapa (coconut water),19,0.7,0.2,3.7,24,100,Olahan,Minuman,250,Coconut water · per 100ml · conf:high · Estimasi
DK061,Smoothie buah (fruit smoothie),60,1.0,0.5,13.5,20,100,Olahan,Minuman,300,Fruit smoothie · per 100ml · conf:med · Estimasi
DK062,Cola / soda,42,0.0,0.0,10.6,,100,Olahan,Minuman,330,Cola soft drink · per 100ml · conf:high · Estimasi
DK063,Sprite / lemon-lime soda,40,0.0,0.0,10.1,,100,Olahan,Minuman,330,Lemon-lime soda · per 100ml · conf:high · Estimasi
DK064,Air mineral (water),0,0.0,0.0,0.0,,100,Segar,Minuman,250,Plain water · per 100ml · conf:high · Estimasi
DK065,Es kelapa muda,40,0.5,0.2,9.5,20,100,Olahan,Minuman,300,Young coconut drink · per 100ml · conf:med · Estimasi
DK066,Milkshake vanila,112,3.2,3.0,18.0,110,100,Olahan,Minuman,300,Vanilla milkshake · per 100ml · conf:med · Estimasi
DK067,Wedang jahe gula merah,35,0.1,0.0,8.5,5,100,Olahan,Minuman,250,Ginger palm-sugar drink · per 100ml · conf:med · Estimasi
DK068,Jus alpukat + susu coklat,120,1.5,7.0,13.0,30,100,Olahan,Minuman,300,Avocado shake w/ choc milk · per 100ml · conf:med · Estimasi
DK069,Es jeruk peras,38,0.3,0.1,9.2,6,100,Olahan,Minuman,250,Iced fresh orange · per 100ml · conf:high · Estimasi
DK070,Kombucha,25,0.0,0.0,6.0,,100,Olahan,Minuman,250,Kombucha · per 100ml · conf:med · Estimasi
tz-almond-boba-jelly,Teazzi Almond Milk Tea (boba + jelly),88,1.0,2.2,16.0,,100,Olahan,Minuman,500,"Almond milk tea w/ boba & jelly · 1 cup 500ml · conf:low · Teazzi, 100% sugar base — atur kadar gula di editor. · Estimasi"
tz-brown-sugar-boba,Teazzi Brown Sugar Boba Milk,100,1.2,2.4,17.6,,100,Olahan,Minuman,500,"Brown sugar boba milk · 1 cup 500ml · conf:low · Teazzi, 100% sugar base — atur kadar gula di editor. · Estimasi"
sb-caffe-latte,Starbucks Caffe Latte (grande),40,2.7,1.5,4.0,,100,Olahan,Minuman,473,"Caffe latte grande · 1 grande 473ml · conf:med · Starbucks 2% milk · Estimasi"
sb-caramel-macchiato,Starbucks Caramel Macchiato (grande),53,2.1,1.5,7.4,,100,Olahan,Minuman,473,"Caramel macchiato grande · 1 grande 473ml · conf:med · Starbucks 2% milk · Estimasi"
sb-java-chip-frap,Starbucks Java Chip Frappuccino (grande),93,1.3,3.8,14.0,,100,Olahan,Minuman,473,"Java chip frappuccino grande · 1 grande 473ml · conf:med · Starbucks whole milk + whip · Estimasi"
