code,name,energy_kcal,protein_g,fat_g,carb_g,bdd_pct,state,group,cuisine,portion_g_cooked,note
gr-risol-mayo,Risol Mayo,273,8.0,17.0,22.0,100,Olahan,Jajanan,jajanan,70,Mayo Smoked Beef Roll · isi mayo + smoked beef · per 100g · conf:med · Estimasi komposisi
gr-molen-pisang,Molen Pisang,280,5.0,12.0,38.0,100,Olahan,Jajanan,jajanan,50,Banana Molen · pisang balut pastry · per 100g · conf:med · Estimasi komposisi
gr-sate-taichan,Sate Taichan,146,22.0,6.0,1.0,100,Olahan,Jajanan,jajanan,80,Taichan Chicken Satay · ayam tanpa bumbu + sambal · per 100g · conf:med · Estimasi komposisi
kb-kue-putu,Kue Putu,196,2.0,4.0,38.0,100,Olahan,Kue/Dessert,jajanan,60,Steamed Rice Flour Cake · tepung beras + gula jawa · per 100g · conf:med · Estimasi komposisi
kp-kerupuk-kulit,Kerupuk Kulit,362,30.0,18.0,20.0,100,Olahan,Jajanan,jajanan,20,Beef Skin Crackers · rambak sapi · per 100g · conf:med · Estimasi komposisi
kp-emping-melinjo,Emping Melinjo,442,12.0,18.0,58.0,100,Olahan,Jajanan,jajanan,20,Melinjo Crackers · emping goreng · per 100g · conf:med · Estimasi komposisi
kp-keripik-pisang,Keripik Pisang,460,1.5,22.0,64.0,100,Olahan,Jajanan,jajanan,25,Banana Chips · pisang goreng kering · per 100g · conf:med · Estimasi komposisi
sb-bumbu-rendang,Bumbu Rendang,178,3.0,14.0,10.0,100,Olahan,Sambal,nusantara,30,Rendang Spice Paste · bumbu + santan kental · per 100g · conf:med · Estimasi komposisi
bh-minyak-goreng,Minyak Goreng,900,0.0,100.0,0.0,100,Mentah,Bahan,nusantara,10,Cooking Oil · minyak sawit · per 100g · conf:med · Estimasi komposisi
bh-cabai-rawit,Cabai Rawit,48,2.0,0.5,9.0,100,Mentah,Bahan,nusantara,10,Bird's Eye Chilli · cabai rawit segar · per 100g · conf:med · Estimasi komposisi
bh-cabai-merah,Cabai Merah,42,1.5,0.4,8.0,100,Mentah,Bahan,nusantara,15,Red Chilli · cabai merah besar · per 100g · conf:med · Estimasi komposisi
bh-bawang-merah,Bawang Merah,75,1.5,0.1,17.0,100,Mentah,Bahan,nusantara,10,Shallot · bawang merah segar · per 100g · conf:med · Estimasi komposisi
bh-bawang-putih,Bawang Putih,160,6.0,0.5,33.0,100,Mentah,Bahan,nusantara,5,Garlic · bawang putih segar · per 100g · conf:med · Estimasi komposisi
bh-ikan-tongkol-balado,Ikan Tongkol Balado,189,23.0,9.0,4.0,100,Olahan,Bahan,nusantara,100,Tuna in Chilli · tongkol bumbu balado · per 100g · conf:med · Estimasi komposisi
bh-dada-ayam-rebus,Dada Ayam Rebus,156,31.0,3.6,0.0,100,Olahan,Bahan,nusantara,100,Boiled Chicken Breast · dada ayam tanpa kulit · per 100g · conf:med · Estimasi komposisi
bh-paha-ayam-bakar,Paha Ayam Bakar,203,25.0,11.0,1.0,100,Olahan,Bahan,nusantara,100,Grilled Chicken Thigh · paha ayam bakar · per 100g · conf:med · Estimasi komposisi
bh-telur-rebus,Telur Rebus,150,12.6,10.6,1.1,100,Olahan,Bahan,nusantara,55,Boiled Egg · telur ayam rebus · per 100g · conf:med · Estimasi komposisi
bh-telur-ceplok,Telur Ceplok,191,13.0,15.0,1.0,100,Olahan,Bahan,nusantara,55,Fried Egg · telur mata sapi · per 100g · conf:med · Estimasi komposisi
bh-tempe-rebus,Tempe Rebus,184,19.0,8.0,9.0,100,Olahan,Bahan,nusantara,50,Boiled Tempe · tempe kukus · per 100g · conf:med · Estimasi komposisi
bh-tahu-putih,Tahu Putih,83,8.0,4.8,1.9,100,Mentah,Bahan,nusantara,50,White Tofu · tahu putih mentah · per 100g · conf:med · Estimasi komposisi
bh-kangkung-tumis,Kangkung Tumis,62,2.6,4.0,4.0,100,Olahan,Bahan,nusantara,100,Stir-fried Water Spinach · kangkung tumis bawang · per 100g · conf:med · Estimasi komposisi
bh-tauge-tumis,Tauge Tumis,59,3.0,3.0,5.0,100,Olahan,Bahan,nusantara,80,Stir-fried Bean Sprouts · tauge tumis · per 100g · conf:med · Estimasi komposisi
