code,name,energy_kcal,protein_g,fat_g,carb_g,bdd_pct,state,group,cuisine,portion_g_cooked,note
wrg-nasi-ulam,Nasi Ulam,187,5.0,7.0,26.0,100,Olahan,Masakan Nusantara,jawa,200,Betawi Herbed Rice · nasi + serundeng + lauk · per 100g · conf:med · Estimasi komposisi
wrg-tahu-campur,Tahu Campur,164,7.0,8.0,16.0,100,Olahan,Masakan Nusantara,jawa,300,Surabaya Tofu Salad · tahu + petis + daging · per 100g · conf:med · Estimasi komposisi
wrg-ayam-suwir,Ayam Suwir,190,22.0,10.0,3.0,100,Olahan,Masakan Nusantara,jawa,80,Shredded Chicken · ayam suwir bumbu · per 100g · conf:med · Estimasi komposisi
wrg-mihun-goreng,Mihun Goreng,208,6.0,8.0,28.0,100,Olahan,Masakan Nusantara,jajanan,200,Fried Rice Vermicelli · bihun goreng sayur · per 100g · conf:med · Estimasi komposisi
wrg-mie-yamin,Mie Yamin,276,10.0,12.0,32.0,100,Olahan,Masakan Nusantara,jajanan,200,Yamin Noodles · mie manis + ayam · per 100g · conf:med · Estimasi komposisi
wrg-mie-tek-tek,Mie Tek-Tek,255,9.0,11.0,30.0,100,Olahan,Masakan Nusantara,jajanan,250,Street Fried Noodles · mie goreng gerobak · per 100g · conf:med · Estimasi komposisi
wrg-ayam-bakar-taliwang,Ayam Bakar Taliwang,221,21.0,13.0,5.0,100,Olahan,Masakan Nusantara,ntt,180,Taliwang Grilled Chicken · ayam bakar sambal khas · per 100g · conf:med · Estimasi komposisi
wrg-pecel-madiun,Pecel Madiun,178,7.0,10.0,15.0,100,Olahan,Masakan Nusantara,jawa,250,Madiun Pecel · sayur + sambal pecel · per 100g · conf:med · Estimasi komposisi
wrg-tengkleng,Tengkleng,172,13.0,12.0,3.0,100,Olahan,Masakan Nusantara,jawa,250,Goat Bone Soup · tulang kambing kuah · per 100g · conf:med · Estimasi komposisi
wrg-krengsengan,Krengsengan,222,19.0,14.0,5.0,100,Olahan,Masakan Nusantara,jawa,150,Sweet Spiced Mutton · kambing kecap petis · per 100g · conf:med · Estimasi komposisi
wrg-selat-solo,Selat Solo,177,12.0,9.0,12.0,100,Olahan,Masakan Nusantara,jawa,250,Solo Beef Salad · bistik jawa + sayur · per 100g · conf:med · Estimasi komposisi
wrg-timlo-solo,Timlo Solo,143,11.0,7.0,9.0,100,Olahan,Masakan Nusantara,jawa,300,Solo Clear Soup · sosis solo + telur + ayam · per 100g · conf:med · Estimasi komposisi
wrg-penyetan,Penyetan,235,20.0,15.0,5.0,100,Olahan,Masakan Nusantara,jawa,150,Smashed Fried Protein · lauk goreng diulek sambal · per 100g · conf:med · Estimasi komposisi
wrg-lalapan,Lalapan,25,1.5,0.3,4.0,100,Mentah,Masakan Nusantara,jawa,80,Raw Vegetable Side · timun kol kemangi · per 100g · conf:med · Estimasi komposisi
wrg-es-dawet,Es Dawet,111,1.0,3.0,20.0,100,Olahan,Minuman,minuman,250,Dawet Iced Drink · cendol + santan + gula jawa · per 100g · conf:med · Estimasi komposisi
wrg-es-kacang-merah,Es Kacang Merah,144,3.0,4.0,24.0,100,Olahan,Minuman,minuman,250,Red Bean Ice · kacang merah + susu · per 100g · conf:med · Estimasi komposisi
wrg-beras-kencur,Beras Kencur,48,0.5,0.2,11.0,100,Olahan,Minuman,minuman,200,Rice Galangal Tonic · beras + kencur + gula · per 100g · conf:med · Estimasi komposisi
wrg-air-tebu,Air Tebu,54,0.2,0.1,13.0,100,Olahan,Minuman,minuman,250,Sugarcane Juice · perasan tebu segar · per 100g · conf:med · Estimasi komposisi
wrg-es-alpukat,Es Alpukat,135,2.0,7.0,16.0,100,Olahan,Minuman,minuman,250,Avocado Shake · alpukat + susu + cokelat · per 100g · conf:med · Estimasi komposisi
wrg-kebab-daging,Kebab Daging,264,13.0,12.0,26.0,100,Olahan,Jajanan,jajanan,200,Doner Kebab Wrap · tortilla + daging + sayur · per 100g · conf:med · Estimasi komposisi
