code,name,energy_kcal,protein_g,fat_g,carb_g,bdd_pct,state,group,note
DS001,"Bolu (sponge cake), panggang",297,6.0,9.0,48.0,100,Olahan,Kue/Dessert,"Estimasi per 100g: tepung, telur, gula, mentega. Nilai perkiraan, sesuaikan dengan resep."
DS002,"Bolu kukus",280,5.0,6.0,52.0,100,Olahan,Kue/Dessert,"Estimasi per 100g. Bolu kukus mengembang, rendah lemak dibanding bolu panggang."
DS003,"Bolu gulung (roll cake) isi selai",330,6.0,14.0,45.0,100,Olahan,Kue/Dessert,"Estimasi per 100g dengan isian selai/krim."
DS004,"Bolu bun / bolobun (roti bolu lembut)",330,7.0,12.0,48.0,100,Olahan,Kue/Dessert,"Estimasi per 100g: roti manis lembut bertekstur bolu. Nilai perkiraan."
DS005,"Roti srikaya (roti isi selai srikaya)",300,7.0,8.0,50.0,100,Olahan,Kue/Dessert,"Estimasi per 100g: roti manis dengan selai srikaya (kaya)."
DS006,"Selai srikaya / kaya (santan + telur + gula)",280,4.0,12.0,40.0,100,Olahan,Kue/Dessert,"Estimasi per 100g selai srikaya. Kaya lemak dari santan."
DS007,"Brownies coklat, panggang",466,6.0,24.0,58.0,100,Olahan,Kue/Dessert,"Estimasi per 100g brownies padat. Tinggi lemak & gula."
DS008,"Brownies kukus",380,6.0,18.0,50.0,100,Olahan,Kue/Dessert,"Estimasi per 100g brownies kukus (lebih lembab)."
DS009,"Cheesecake",321,6.0,22.0,26.0,100,Olahan,Kue/Dessert,"Estimasi per 100g cheesecake baked. Tinggi lemak dari cream cheese."
DS010,"Klepon (isi gula merah)",200,2.0,4.0,40.0,100,Olahan,Kue/Dessert,"Estimasi per 100g: ketan isi gula merah, balut kelapa."
DS011,"Onde-onde (isi kacang hijau)",270,5.0,9.0,42.0,100,Olahan,Kue/Dessert,"Estimasi per 100g: bola tepung ketan wijen, goreng."
DS012,"Donat (donut) gula",410,7.0,22.0,47.0,100,Olahan,Kue/Dessert,"Estimasi per 100g donat goreng bergula."
DS013,"Donat kentang",360,6.0,15.0,50.0,100,Olahan,Kue/Dessert,"Estimasi per 100g donat berbahan kentang (lebih lembut)."
DS014,"Martabak manis / terang bulan (coklat keju)",330,7.0,14.0,45.0,100,Olahan,Kue/Dessert,"Estimasi per 100g dengan topping coklat, keju, mentega."
DS015,"Dadar gulung (isi kelapa gula merah)",230,4.0,8.0,36.0,100,Olahan,Kue/Dessert,"Estimasi per 100g: kulit dadar hijau isi unti kelapa."
DS016,"Kue lapis (steamed layer, tepung beras)",230,2.0,5.0,45.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue lapis kukus warna-warni."
DS017,"Lapis legit",430,6.0,26.0,44.0,100,Olahan,Kue/Dessert,"Estimasi per 100g. Sangat kaya telur & mentega."
DS018,"Kue lapis Surabaya (spiku)",400,7.0,22.0,45.0,100,Olahan,Kue/Dessert,"Estimasi per 100g bolu lapis Surabaya isi selai."
DS019,"Nastar (kue kering isi nanas)",430,5.0,22.0,54.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue kering nastar."
DS020,"Kastengel (kue kering keju)",480,10.0,30.0,40.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue kering keju."
DS021,"Putri salju",470,5.0,26.0,55.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue kering bersalut gula halus."
DS022,"Kue putu bambu (isi gula merah)",180,2.0,3.0,37.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue putu bambu."
DS023,"Kue cucur",250,3.0,8.0,42.0,100,Olahan,Kue/Dessert,"Estimasi per 100g cucur gula merah, goreng."
DS024,"Kue lumpur (kentang)",220,4.0,8.0,33.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue lumpur."
DS025,"Serabi (kuah kinca)",180,3.0,6.0,28.0,100,Olahan,Kue/Dessert,"Estimasi per 100g serabi tanpa/dengan sedikit kuah."
DS026,"Getuk singkong",170,1.5,2.0,37.0,100,Olahan,Kue/Dessert,"Estimasi per 100g getuk singkong."
DS027,"Wajik ketan (gula merah)",250,3.0,5.0,48.0,100,Olahan,Kue/Dessert,"Estimasi per 100g wajik ketan."
DS028,"Bika ambon",330,5.0,12.0,50.0,100,Olahan,Kue/Dessert,"Estimasi per 100g bika ambon."
DS029,"Pukis",280,5.0,9.0,45.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue pukis."
DS030,"Kue pancong / bandros",250,3.0,12.0,32.0,100,Olahan,Kue/Dessert,"Estimasi per 100g, kaya kelapa & santan."
DS031,"Es krim vanila",207,3.5,11.0,24.0,100,Olahan,Kue/Dessert,"Estimasi per 100g es krim vanila."
DS032,"Es krim coklat",216,3.8,11.0,28.0,100,Olahan,Kue/Dessert,"Estimasi per 100g es krim coklat."
DS033,"Puding / pudding custard",120,3.0,4.0,18.0,100,Olahan,Kue/Dessert,"Estimasi per 100g puding susu/custard."
DS034,"Puding coklat",140,3.0,5.0,21.0,100,Olahan,Kue/Dessert,"Estimasi per 100g puding coklat."
DS035,"Kolak pisang (santan)",150,1.5,4.0,28.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kolak pisang dengan santan & gula merah."
DS036,"Cendol / dawet (santan gula merah)",140,1.0,3.0,28.0,100,Olahan,Kue/Dessert,"Estimasi per 100g minuman/dessert cendol."
DS037,"Es campur",110,1.5,2.0,22.0,100,Olahan,Kue/Dessert,"Estimasi per 100g es campur (buah, sirup, santan)."
DS038,"Croissant (plain, butter)",406,8.0,21.0,46.0,100,Olahan,Kue/Dessert,"Estimasi per 100g croissant mentega."
DS039,"Muffin blueberry",377,6.0,15.0,54.0,100,Olahan,Kue/Dessert,"Estimasi per 100g muffin."
DS040,"Cupcake (butter, frosting)",370,4.0,15.0,55.0,100,Olahan,Kue/Dessert,"Estimasi per 100g cupcake dengan frosting."
DS041,"Pancake (sirup)",227,6.0,9.0,30.0,100,Olahan,Kue/Dessert,"Estimasi per 100g pancake."
DS042,"Waffle",291,8.0,14.0,33.0,100,Olahan,Kue/Dessert,"Estimasi per 100g waffle."
DS043,"Tiramisu",283,5.0,17.0,27.0,100,Olahan,Kue/Dessert,"Estimasi per 100g tiramisu."
DS044,"Panna cotta",200,4.0,13.0,17.0,100,Olahan,Kue/Dessert,"Estimasi per 100g panna cotta."
DS045,"Nagasari (pisang, tepung beras santan)",150,1.5,3.0,30.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue nagasari."
DS046,"Kue talam",180,2.0,5.0,32.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue talam."
DS047,"Roti manis / sweet bun (plain)",300,8.0,6.0,52.0,100,Olahan,Kue/Dessert,"Estimasi per 100g roti manis."
DS048,"Roti coklat (isi/topping coklat)",330,7.0,10.0,52.0,100,Olahan,Kue/Dessert,"Estimasi per 100g roti isi coklat."
DS049,"Pisang goreng",230,2.0,8.0,38.0,100,Olahan,Kue/Dessert,"Estimasi per 100g pisang goreng tepung."
DS050,"Kue mangkok / apem",200,3.0,3.0,42.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue mangkok mekar."
DS051,"Kue ku (kue thok, isi kacang hijau)",210,3.0,4.0,42.0,100,Olahan,Kue/Dessert,"Estimasi per 100g kue ku ketan isi kacang hijau."
DS052,"Bolu pandan",295,6.0,10.0,46.0,100,Olahan,Kue/Dessert,"Estimasi per 100g bolu pandan."
