code,name,energy_kcal,protein_g,fat_g,carb_g,fiber_g,vitc_mg,calcium_mg,bdd_pct,state,group,portion_g_cooked,note
frt-mangga,Mangga,60,0.8,0.4,15,1.6,36,11,68,Segar,Buah,165,Mango · conf:high · USDA/estimasi per 100g bagian dimakan
frt-alpukat,Alpukat,160,2.0,14.7,8.5,6.7,10,12,74,Segar,Buah,150,Avocado · conf:high · USDA/estimasi per 100g bagian dimakan
frt-jeruk,Jeruk,47,0.9,0.1,12,2.4,53,40,72,Segar,Buah,130,Orange · conf:high · USDA/estimasi per 100g bagian dimakan
frt-anggur,Anggur,69,0.7,0.2,18,0.9,3.2,10,96,Segar,Buah,120,Grapes · conf:high · USDA/estimasi per 100g bagian dimakan
frt-apel,Apel,52,0.3,0.2,14,2.4,4.6,6,90,Segar,Buah,150,Apple · conf:high · USDA/estimasi per 100g bagian dimakan
frt-pisang,Pisang,89,1.1,0.3,23,2.6,8.7,5,64,Segar,Buah,118,Banana · conf:high · USDA/estimasi per 100g bagian dimakan
frt-pepaya,Pepaya,43,0.5,0.3,11,1.7,61,20,62,Segar,Buah,145,Papaya · conf:high · USDA/estimasi per 100g bagian dimakan
frt-nanas,Nanas,50,0.5,0.1,13,1.4,48,13,52,Segar,Buah,165,Pineapple · conf:high · USDA/estimasi per 100g bagian dimakan
frt-semangka,Semangka,30,0.6,0.2,8,0.4,8,7,52,Segar,Buah,280,Watermelon · conf:high · USDA/estimasi per 100g bagian dimakan
frt-melon,Melon,34,0.8,0.2,8,0.9,37,9,55,Segar,Buah,160,Cantaloupe Melon · conf:high · USDA/estimasi per 100g bagian dimakan
frt-melon-honeydew,Melon Honeydew,36,0.5,0.1,9,0.8,18,6,58,Segar,Buah,160,Honeydew Melon · conf:high · USDA/estimasi per 100g bagian dimakan
frt-stroberi,Stroberi,32,0.7,0.3,8,2.0,59,16,96,Segar,Buah,150,Strawberry · conf:high · USDA/estimasi per 100g bagian dimakan
frt-blueberry,Blueberry,57,0.7,0.3,14,2.4,9.7,6,98,Segar,Buah,140,Blueberry · conf:high · USDA/estimasi per 100g bagian dimakan
frt-rasberi,Rasberi,52,1.2,0.7,12,6.5,26,25,98,Segar,Buah,120,Raspberry · conf:high · USDA/estimasi per 100g bagian dimakan
frt-blackberry,Blackberry,43,1.4,0.5,10,5.3,21,29,96,Segar,Buah,140,Blackberry · conf:high · USDA/estimasi per 100g bagian dimakan
frt-cranberry,Cranberry,46,0.4,0.1,12,3.6,14,8,95,Segar,Buah,100,Cranberry · conf:high · USDA/estimasi per 100g bagian dimakan
frt-kiwi,Kiwi,61,1.1,0.5,15,3.0,93,34,84,Segar,Buah,75,Kiwi · conf:high · USDA/estimasi per 100g bagian dimakan
frt-pir,Pir,57,0.4,0.1,15,3.1,4.3,9,90,Segar,Buah,178,Pear · conf:high · USDA/estimasi per 100g bagian dimakan
frt-persik,Persik,39,0.9,0.3,10,1.5,6.6,6,90,Segar,Buah,150,Peach · conf:high · USDA/estimasi per 100g bagian dimakan
frt-plum,Plum,46,0.7,0.3,11,1.4,9.5,6,94,Segar,Buah,66,Plum · conf:high · USDA/estimasi per 100g bagian dimakan
frt-aprikot,Aprikot,48,1.4,0.4,11,2.0,10,13,93,Segar,Buah,70,Apricot · conf:high · USDA/estimasi per 100g bagian dimakan
frt-ceri,Ceri,63,1.1,0.2,16,2.1,7,13,92,Segar,Buah,100,Cherry · conf:high · USDA/estimasi per 100g bagian dimakan
frt-jambu-biji,Jambu Biji,68,2.6,1.0,14,5.4,228,18,88,Segar,Buah,165,Guava · conf:high · USDA/estimasi per 100g bagian dimakan
frt-jambu-air,Jambu Air,25,0.6,0.2,6,1.5,22,29,90,Segar,Buah,100,Water Apple · conf:high · USDA/estimasi per 100g bagian dimakan
frt-buah-naga,Buah Naga,60,1.2,0.4,13,3.0,3,9,60,Segar,Buah,200,Dragon Fruit · conf:high · USDA/estimasi per 100g bagian dimakan
frt-rambutan,Rambutan,68,0.9,0.2,16,0.9,4.9,22,47,Segar,Buah,90,Rambutan · conf:high · USDA/estimasi per 100g bagian dimakan
frt-durian,Durian,147,1.5,5.3,27,3.8,20,6,32,Segar,Buah,120,Durian · conf:high · USDA/estimasi per 100g bagian dimakan
frt-manggis,Manggis,73,0.4,0.6,18,1.8,2.9,12,30,Segar,Buah,100,Mangosteen · conf:high · USDA/estimasi per 100g bagian dimakan
frt-kelengkeng,Kelengkeng,60,1.3,0.1,15,1.1,84,1,65,Segar,Buah,90,Longan · conf:high · USDA/estimasi per 100g bagian dimakan
frt-leci,Leci,66,0.8,0.4,17,1.3,72,5,60,Segar,Buah,100,Lychee · conf:high · USDA/estimasi per 100g bagian dimakan
frt-salak,Salak,82,0.8,0.4,21,0.3,8.4,28,78,Segar,Buah,70,Snake Fruit · conf:high · USDA/estimasi per 100g bagian dimakan
frt-nangka,Nangka,95,1.7,0.6,23,1.5,13.7,24,30,Segar,Buah,150,Jackfruit · conf:high · USDA/estimasi per 100g bagian dimakan
frt-cempedak,Cempedak,116,3.0,0.4,28,3.5,15,33,40,Segar,Buah,100,Cempedak · conf:high · USDA/estimasi per 100g bagian dimakan
frt-sukun,Sukun,103,1.3,0.2,27,4.9,29,17,70,Segar,Buah,120,Breadfruit · conf:high · USDA/estimasi per 100g bagian dimakan
FR035,Belimbing,31,1.0,0.3,7,2.8,34,3,91,Segar,Buah,130,Starfruit · conf:high · USDA/estimasi per 100g bagian dimakan
FR036,Markisa,97,2.2,0.7,23,10.0,30,12,48,Segar,Buah,60,Passion Fruit · conf:high · USDA/estimasi per 100g bagian dimakan
FR037,Sirsak,66,1.0,0.3,17,3.3,20,14,68,Segar,Buah,180,Soursop · conf:high · USDA/estimasi per 100g bagian dimakan
FR038,Srikaya,94,2.1,0.3,24,4.4,36,24,50,Segar,Buah,120,Sugar Apple · conf:high · USDA/estimasi per 100g bagian dimakan
FR039,Sawo,83,0.4,1.1,20,5.3,14.7,21,74,Segar,Buah,100,Sapodilla · conf:high · USDA/estimasi per 100g bagian dimakan
FR040,Duku,57,1.0,0.2,14,0.8,9,18,62,Segar,Buah,100,Duku / Langsat · conf:high · USDA/estimasi per 100g bagian dimakan
FR041,Kedondong,46,0.9,0.1,12,2.0,30,15,60,Segar,Buah,100,Ambarella · conf:high · USDA/estimasi per 100g bagian dimakan
FR042,Kesemek,70,0.6,0.2,18,3.6,7.5,8,82,Segar,Buah,120,Persimmon · conf:high · USDA/estimasi per 100g bagian dimakan
FR043,Delima,83,1.7,1.2,19,4.0,10,10,56,Segar,Buah,100,Pomegranate · conf:high · USDA/estimasi per 100g bagian dimakan
FR044,Buah Tin,74,0.8,0.3,19,2.9,2,35,95,Segar,Buah,50,Fig · conf:high · USDA/estimasi per 100g bagian dimakan
FR045,Jeruk Nipis,30,0.7,0.2,11,2.8,29,33,68,Segar,Buah,67,Lime · conf:high · USDA/estimasi per 100g bagian dimakan
FR046,Lemon,29,1.1,0.3,9,2.8,53,26,55,Segar,Buah,84,Lemon · conf:high · USDA/estimasi per 100g bagian dimakan
FR047,Jeruk Bali,38,0.8,0.0,10,1.0,61,4,55,Segar,Buah,190,Pomelo · conf:high · USDA/estimasi per 100g bagian dimakan
FR048,Jeruk Mandarin,53,0.8,0.3,13,1.8,27,37,72,Segar,Buah,88,Tangerine · conf:high · USDA/estimasi per 100g bagian dimakan
FR049,Grapefruit,42,0.8,0.1,11,1.6,31,22,70,Segar,Buah,230,Grapefruit · conf:high · USDA/estimasi per 100g bagian dimakan
FR050,Kelapa Muda,41,0.5,1.0,8,2.0,4,14,40,Segar,Buah,100,Young Coconut Flesh · conf:high · USDA/estimasi per 100g bagian dimakan
FR051,Kurma,282,2.5,0.4,75,8.0,0.4,39,85,Olahan,Buah,24,Date (dried) · conf:high · USDA/estimasi per 100g bagian dimakan
FR052,Kismis,299,3.1,0.5,79,3.7,2.3,50,100,Olahan,Buah,30,Raisin (dried) · conf:high · USDA/estimasi per 100g bagian dimakan
FR053,Aprikot Kering,241,3.4,0.5,63,7.3,1,55,100,Olahan,Buah,40,Dried Apricot · conf:high · USDA/estimasi per 100g bagian dimakan
