code,name,energy_kcal,protein_g,fat_g,carb_g,bdd_pct,state,group,cuisine,portion_g_cooked,note
bl-sate-lilit,Sate Lilit,165,16.0,9.0,5.0,100,Olahan,Masakan Nusantara,bali,80,Balinese Minced Satay · ikan/ayam cincang + kelapa · per 100g · conf:med · Estimasi komposisi
bl-lawar-bali,Lawar Bali,133,6.0,9.0,7.0,100,Olahan,Masakan Nusantara,bali,100,Balinese Vegetable Mince · sayur + kelapa + bumbu · per 100g · conf:med · Estimasi komposisi
bl-serombotan,Serombotan,110,4.0,6.0,10.0,100,Olahan,Masakan Nusantara,bali,120,Balinese Mixed Vegetables · sayur rebus + bumbu kelapa · per 100g · conf:med · Estimasi komposisi
mn-ayam-woku,Ayam Woku,187,18.0,11.0,4.0,100,Olahan,Masakan Nusantara,manado,150,Chicken in Woku Spices · ayam bumbu woku belanga · per 100g · conf:med · Estimasi komposisi
mn-klappertaart,Klappertaart,232,4.5,14.0,22.0,100,Olahan,Kue/Dessert,manado,100,Coconut Custard Tart · kelapa muda + custard · per 100g · conf:med · Estimasi komposisi
mn-sup-brenebon,Sup Brenebon,129,7.0,5.0,14.0,100,Olahan,Masakan Nusantara,manado,250,Red Bean Soup · kacang merah + kaki babi/sapi · per 100g · conf:med · Estimasi komposisi
sl-pallumara,Pallumara,125,17.0,5.0,3.0,100,Olahan,Masakan Nusantara,sulawesi,200,Sour Fish Soup · ikan kuah asam kunyit · per 100g · conf:med · Estimasi komposisi
ac-mie-aceh-goreng,Mie Aceh Goreng,276,10.0,12.0,32.0,100,Olahan,Masakan Nusantara,aceh,250,Acehnese Fried Noodles · mie tebal + bumbu kari · per 100g · conf:med · Estimasi komposisi
ac-mie-aceh-kuah,Mie Aceh Kuah,229,9.0,9.0,28.0,100,Olahan,Masakan Nusantara,aceh,300,Acehnese Noodle Soup · mie kuah rempah · per 100g · conf:med · Estimasi komposisi
md-saksang,Saksang,264,18.0,20.0,3.0,100,Olahan,Masakan Nusantara,medan,120,Batak Minced Pork · babi + andaliman + kelapa · per 100g · conf:med · Estimasi komposisi
pl-model-palembang,Model Palembang,167,8.0,7.0,18.0,100,Olahan,Masakan Nusantara,palembang,300,Palembang Tofu Fishcake Soup · pempek tahu + kuah · per 100g · conf:med · Estimasi komposisi
pl-pindang-patin,Pindang Patin,134,17.0,6.0,3.0,100,Olahan,Masakan Nusantara,palembang,250,Sour Catfish Soup · patin kuah nanas pedas · per 100g · conf:med · Estimasi komposisi
