code,name,energy_kcal,protein_g,fat_g,carb_g,bdd_pct,state,group,cuisine,portion_g_cooked,note
pd-rendang-sapi,Rendang Sapi,220,15.0,16.0,4.0,100,Olahan,Masakan Nusantara,padang,100,Beef Rendang · rendang kering warung · per 100g · conf:med · Estimasi
pd-kalio-sapi,Kalio Sapi (rendang basah),202,14.0,14.0,5.0,100,Olahan,Masakan Nusantara,padang,100,Wet rendang · kuah lebih banyak · per 100g · conf:med · Estimasi
pd-gulai-ayam,Gulai Ayam,174,13.5,11.5,4.0,100,Olahan,Masakan Nusantara,padang,150,Chicken Gulai · kuah santan kuning · per 100g · conf:med · Estimasi
pd-gulai-tunjang,Gulai Tunjang,165,9.0,13.0,3.0,100,Olahan,Masakan Nusantara,padang,120,Beef tendon curry · per 100g · conf:med · Estimasi
pd-gulai-nangka,Gulai Nangka,117,2.0,8.5,8.0,100,Olahan,Masakan Nusantara,padang,100,Jackfruit curry · lauk pendamping · per 100g · conf:med · Estimasi
pd-gulai-otak,Gulai Otak,182,11.0,14.0,3.0,100,Olahan,Masakan Nusantara,padang,100,Beef brain curry · per 100g · conf:med · Estimasi
pd-dendeng-balado,Dendeng Balado,314,23.0,22.0,6.0,100,Olahan,Masakan Nusantara,padang,100,Crispy beef with chilli · per 100g · conf:med · Estimasi
pd-dendeng-batokok,Dendeng Batokok,278,25.0,18.0,4.0,100,Olahan,Masakan Nusantara,padang,100,Pounded grilled beef · per 100g · conf:med · Estimasi
pd-ayam-pop,Ayam Pop,241,25.0,15.0,1.5,100,Olahan,Masakan Nusantara,padang,150,Padang boiled-then-fried chicken · per 100g · conf:med · Estimasi
pd-ayam-balado,Ayam Balado,265,23.0,17.0,5.0,100,Olahan,Masakan Nusantara,padang,150,Chicken in red chilli · per 100g · conf:med · Estimasi
pd-ayam-bakar-padang,Ayam Bakar Padang,228,26.0,12.0,4.0,100,Olahan,Masakan Nusantara,padang,150,Grilled chicken padang style · per 100g · conf:med · Estimasi
pd-telur-balado,Telur Balado,181,11.0,13.0,5.0,100,Olahan,Masakan Nusantara,padang,120,Egg in chilli sauce · 2 butir · per 100g · conf:med · Estimasi
pd-ikan-bakar-padang,Ikan Bakar Padang,189,24.0,9.0,3.0,100,Olahan,Masakan Nusantara,padang,150,Grilled fish padang · per 100g · conf:med · Estimasi
pd-gulai-kepala-ikan,Gulai Kepala Ikan,188,16.0,12.0,4.0,100,Olahan,Masakan Nusantara,padang,200,Fish head curry · per 100g · conf:med · Estimasi
pd-perkedel-kentang,Perkedel Kentang,185,4.5,11.0,17.0,100,Olahan,Masakan Nusantara,padang,50,Potato fritter · per 100g · conf:med · Estimasi
pd-sambal-ijo,Sambal Ijo,117,2.0,9.0,7.0,100,Olahan,Bumbu,padang,30,Green chilli sambal · per 100g · conf:med · Estimasi
pd-daun-singkong,Daun Singkong Santan,107,4.0,7.0,7.0,100,Olahan,Sayur,padang,80,Cassava leaves in coconut milk · per 100g · conf:med · Estimasi
pd-sate-padang,Sate Padang,236,18.0,12.0,14.0,100,Olahan,Masakan Nusantara,padang,150,Beef satay with thick yellow sauce · per 100g · conf:med · Estimasi
pd-asam-padeh,Asam Padeh Ikan,159,20.0,7.0,4.0,100,Olahan,Masakan Nusantara,padang,180,Sour spicy fish stew · tanpa santan · per 100g · conf:med · Estimasi
pd-nasi-padang-komplit,Nasi Padang Komplit,317,12.0,13.0,38.0,100,Olahan,Masakan Nusantara,padang,400,Rice + rendang + sayur + sambal · per 100g · conf:med · Estimasi
id-nasi-goreng,Nasi Goreng,176,5.5,6.0,25.0,100,Olahan,Masakan Nusantara,indonesian,300,Fried rice · warung standard · per 100g · conf:med · Estimasi
id-nasi-goreng-seafood,Nasi Goreng Seafood,187,8.0,6.5,24.0,100,Olahan,Masakan Nusantara,indonesian,300,Seafood fried rice · per 100g · conf:med · Estimasi
id-mie-goreng,Mie Goreng,183,5.0,7.0,25.0,100,Olahan,Masakan Nusantara,indonesian,300,Fried noodles · per 100g · conf:med · Estimasi
id-mie-ayam,Mie Ayam,168,7.5,5.5,22.0,100,Olahan,Masakan Nusantara,chinese,250,Chicken noodles · warung · per 100g · conf:med · Estimasi
id-bakso-kuah,Bakso Kuah,98,5.5,4.0,10.0,100,Olahan,Masakan Nusantara,indonesian,400,Meatball soup with noodles · per 100g · conf:med · Estimasi
id-soto-ayam,Soto Ayam,80,6.0,3.5,6.0,100,Olahan,Masakan Nusantara,indonesian,400,Yellow chicken soup · per 100g · conf:med · Estimasi
id-soto-betawi,Soto Betawi,129,7.0,9.0,5.0,100,Olahan,Masakan Nusantara,indonesian,400,Beef soup with coconut milk · per 100g · conf:med · Estimasi
id-coto-makassar,Coto Makassar,122,8.5,8.0,4.0,100,Olahan,Masakan Nusantara,indonesian,350,Makassar beef offal soup · per 100g · conf:med · Estimasi
id-rawon,Rawon,113,7.5,7.0,5.0,100,Olahan,Masakan Nusantara,indonesian,400,Black beef soup · kluwek · per 100g · conf:med · Estimasi
id-gado-gado,Gado-gado,159,6.5,9.0,13.0,100,Olahan,Masakan Nusantara,indonesian,300,Vegetables with peanut sauce · per 100g · conf:med · Estimasi
id-ketoprak,Ketoprak,160,6.0,7.5,17.0,100,Olahan,Masakan Nusantara,indonesian,300,"Tofu, lontong, bihun, peanut sauce · per 100g · conf:med · Estimasi"
id-pecel-sayur,Pecel Sayur,121,4.5,6.5,11.0,100,Olahan,Masakan Nusantara,indonesian,250,Blanched veg with peanut sauce · per 100g · conf:med · Estimasi
id-karedok,Karedok,110,4.0,6.0,10.0,100,Olahan,Masakan Nusantara,indonesian,250,"Raw veg salad, peanut sauce · per 100g · conf:med · Estimasi"
id-ayam-geprek,Ayam Geprek,249,21.0,13.0,12.0,100,Olahan,Masakan Nusantara,indonesian,200,Smashed fried chicken with sambal · per 100g · conf:med · Estimasi
id-ayam-goreng-lengkuas,Ayam Goreng Lengkuas,238,24.0,14.0,4.0,100,Olahan,Masakan Nusantara,indonesian,150,Fried chicken with galangal · per 100g · conf:med · Estimasi
id-ayam-bakar-kecap,Ayam Bakar Kecap,214,23.0,10.0,8.0,100,Olahan,Masakan Nusantara,indonesian,150,Grilled chicken sweet soy · per 100g · conf:med · Estimasi
id-ayam-penyet,Ayam Penyet,238,22.0,14.0,6.0,100,Olahan,Masakan Nusantara,indonesian,180,Smashed chicken with sambal · per 100g · conf:med · Estimasi
id-ayam-taliwang,Ayam Taliwang,237,24.0,13.0,6.0,100,Olahan,Masakan Nusantara,indonesian,180,Lombok spicy grilled chicken · per 100g · conf:med · Estimasi
id-bebek-goreng,Bebek Goreng,298,21.0,22.0,4.0,100,Olahan,Masakan Nusantara,indonesian,180,Fried duck · per 100g · conf:med · Estimasi
id-pecel-lele,Pecel Lele,218,19.0,14.0,4.0,100,Olahan,Masakan Nusantara,indonesian,150,Fried catfish with sambal · per 100g · conf:med · Estimasi
id-ikan-bakar,Ikan Bakar,167,24.0,7.0,2.0,100,Olahan,Ikan dsb,indonesian,180,"Grilled fish, sweet soy · per 100g · conf:med · Estimasi"
id-sate-ayam,Sate Ayam,211,18.0,11.0,10.0,100,Olahan,Masakan Nusantara,indonesian,200,Chicken satay with peanut sauce · per 100g · conf:med · Estimasi
id-sate-kambing,Sate Kambing,243,19.0,15.0,8.0,100,Olahan,Masakan Nusantara,indonesian,200,Goat satay · per 100g · conf:med · Estimasi
id-sate-maranggi,Sate Maranggi,220,21.0,12.0,7.0,100,Olahan,Masakan Nusantara,indonesian,180,Purwakarta beef satay · per 100g · conf:med · Estimasi
id-gudeg,Gudeg,145,4.5,7.0,16.0,100,Olahan,Masakan Nusantara,indonesian,250,Jogja sweet jackfruit stew · per 100g · conf:med · Estimasi
