code,name,energy_kcal,protein_g,fat_g,carb_g,fiber_g,calcium_mg,iron_mg,sodium_mg,bdd_pct,state,group,cuisine,portion_g_cooked,aliases,note
idn-ikan-nike-segar,Ikan Nike Segar,90.0,15.0,3.0,0.0,0.0,400,2.2,90,100,Mentah,Bahan Pokok,,80,Duwo Ikan Nike,Fresh Nike Whitebait · Duwo Ikan Nike · 1 porsi · Gorontalo/Ikan · src:USDA analog · conf:medium
idn-bihun-rebus,Bihun Rebus,109.0,0.9,0.2,24.9,1.0,4,0.1,19,100,Olahan,Bahan Pokok,,150,Bihun Putih Rebus Mihun Rebus,Cooked Rice Vermicelli · Bihun Putih Rebus Mihun Rebus · 1 porsi · Nasional/Mie & Bihun · src:USDA analog · conf:high
idn-bubur-nasi-putih,Bubur Nasi Putih,65.0,1.2,0.1,14.5,0.1,8,0.2,2,100,Mentah,Bahan Pokok,,250,Bubur Polos Bubur Putih Congee,Plain Rice Porridge · Bubur Polos Bubur Putih Congee · 1 mangkok · Nasional/Nasi · src:Recipe calc · conf:high
idn-gula-pasir,Gula Pasir,387.0,0.0,0.0,99.8,0.0,1,0.1,1,100,Mentah,Bahan Pokok,,5,Gula Kristal Gula Putih,Granulated White Sugar · Gula Kristal Gula Putih · 1 sdt · Nasional/Serealia & Umbi · src:USDA analog · conf:high
idn-jagung-manis-rebus,Jagung Manis Rebus,96.0,3.4,1.5,21.0,2.4,3,0.5,1,100,Olahan,Bahan Pokok,,130,Jagung Manis Kukus Sweet Corn Rebus,Boiled Sweet Corn · Jagung Manis Kukus Sweet Corn Rebus · 1 tongkol sedang · Nasional/Serealia & Umbi · src:USDA analog · conf:high
idn-kentang-rebus,Kentang Rebus,87.0,1.9,0.1,20.1,1.8,8,0.3,4,100,Olahan,Bahan Pokok,,120,Kentang Kukus,Boiled Potato · Kentang Kukus · 1 buah sedang · Nasional/Serealia & Umbi · src:USDA analog · conf:high
idn-ketupat,Ketupat,140.0,2.4,0.3,31.0,0.4,10,0.4,60,100,Mentah,Bahan Pokok,,130,Ketupat Polos Kupat,Woven Palm-Leaf Rice Cake · Ketupat Polos Kupat · 1 buah · Nasional/Nasi · src:NilaiGizi · conf:high
idn-kwetiau-rebus,Kwetiau Rebus,110.0,1.8,0.2,25.0,0.9,5,0.2,20,100,Olahan,Bahan Pokok,,180,Kwetiau Putih Kwetiaw Rebus,Cooked Flat Rice Noodles · Kwetiau Putih Kwetiaw Rebus · 1 porsi · Nasional/Mie & Bihun · src:USDA analog · conf:high
idn-lontong,Lontong,130.0,2.2,0.2,28.8,0.3,8,0.3,80,100,Mentah,Bahan Pokok,,120,Buras Lontong Polos,Compressed Boiled Rice Cake · Buras Lontong Polos · 1 buah · Nasional/Nasi · src:NilaiGizi · conf:high
idn-makaroni-rebus,Makaroni Rebus,158.0,5.8,0.9,30.9,1.8,7,1.3,1,100,Olahan,Bahan Pokok,,140,Macaroni Makaroni Matang,Cooked Macaroni · Macaroni Makaroni Matang · 1 porsi · Nasional/Serealia & Umbi · src:USDA analog · conf:high
idn-mie-instan-goreng,Mie Instan Goreng,180.0,4.5,7.0,25.0,1.0,10,1.5,520,100,Olahan,Bahan Pokok,,210,Indomie Goreng Mi Instan Goreng,Cooked Fried-Style Instant Noodles · Indomie Goreng Mi Instan Goreng · 1 porsi · Nasional/Mie & Bihun · src:Recipe calc · conf:medium
idn-mie-instan-kuah,Mie Instan Kuah,85.0,2.2,3.2,11.8,0.6,8,0.8,335,100,Mentah,Bahan Pokok,,400,Indomie Kuah Mi Instan Rebus,Cooked Instant Noodle Soup · Indomie Kuah Mi Instan Rebus · 1 mangkok · Nasional/Mie & Bihun · src:Recipe calc · conf:medium
idn-mie-shirataki,Mie Shirataki,8.0,0.2,0.0,3.0,2.9,20,0.1,10,100,Mentah,Bahan Pokok,,180,Mi Shirataki Mie Konjac,Konjac Shirataki Noodles · Mi Shirataki Mie Konjac · 1 porsi · Nasional/Mie & Bihun · src:USDA analog · conf:medium
idn-mie-telur-rebus,Mie Telur Rebus,138.0,4.5,2.1,25.2,1.2,12,1.3,5,100,Olahan,Bahan Pokok,,150,Mi Telur Rebus Mie Kuning Rebus,Boiled Egg Noodles · Mi Telur Rebus Mie Kuning Rebus · 1 porsi · Nasional/Mie & Bihun · src:USDA analog · conf:high
idn-minyak-goreng-sawit,Minyak Goreng Sawit,884.0,0.0,100.0,0.0,0.0,0,0.0,0,100,Olahan,Bahan Pokok,,14,Minyak Goreng Minyak Sawit,Palm Cooking Oil · Minyak Goreng Minyak Sawit · 1 sdm · Nasional/Gorengan · src:USDA analog · conf:high
idn-nasi-coklat,Nasi Coklat,130.0,2.9,1.0,27.3,1.8,12,0.5,2,100,Mentah,Bahan Pokok,,100,Nasi Beras Coklat Nasi Pecah Kulit,Steamed Brown Rice · Nasi Beras Coklat Nasi Pecah Kulit · 1 centong sedang · Nasional/Nasi · src:USDA analog · conf:high
idn-nasi-merah,Nasi Merah,123.0,2.7,1.0,25.6,2.0,15,0.8,2,100,Mentah,Bahan Pokok,,100,Nasi Beras Merah Sego Abang,Steamed Red Rice · Nasi Beras Merah Sego Abang · 1 centong sedang · Nasional/Nasi · src:TKPI · conf:high
idn-nasi-shirataki,Nasi Shirataki,10.0,0.2,0.0,3.0,2.5,20,0.1,10,100,Mentah,Bahan Pokok,,150,Beras Konjac Beras Shirataki,Konjac Shirataki Rice · Beras Konjac Beras Shirataki · 1 porsi · Nasional/Nasi · src:USDA analog · conf:medium
idn-oatmeal-matang,Oatmeal Matang,71.0,2.5,1.5,12.0,1.7,9,0.9,4,100,Mentah,Bahan Pokok,,240,Bubur Oat Havermut Matang,Cooked Oatmeal · Bubur Oat Havermut Matang · 1 mangkok · Nasional/Serealia & Umbi · src:USDA analog · conf:high
idn-pisang-rebus,Pisang Rebus,120.0,1.0,0.3,29.0,2.3,5,0.6,3,100,Olahan,Bahan Pokok,,90,Pisang Kepok Rebus Pisang Kukus,Boiled Plantain Banana · Pisang Kepok Rebus Pisang Kukus · 1 buah sedang · Nasional/Serealia & Umbi · src:USDA analog · conf:medium
idn-santan-encer,Santan Encer,122.0,2.0,10.0,7.6,0.3,8,0.7,10,100,Mentah,Bahan Pokok,,120,Santan Cair Santan Peras Kedua,Thin Coconut Milk · Santan Cair Santan Peras Kedua · 1/2 gelas · Nasional/Bumbu & Saus · src:TKPI · conf:high
idn-santan-kental,Santan Kental,324.0,4.2,34.3,5.6,0.7,18,1.6,15,100,Mentah,Bahan Pokok,,60,Santan Murni Santan Peras Pertama,Thick Coconut Milk · Santan Murni Santan Peras Pertama · 1/4 gelas · Nasional/Bumbu & Saus · src:TKPI · conf:high
idn-singkong-rebus,Singkong Rebus,150.0,1.0,0.3,36.0,1.8,25,0.7,8,100,Olahan,Bahan Pokok,,100,Ketela Pohon Rebus Ubi Kayu Rebus,Boiled Cassava · Ketela Pohon Rebus Ubi Kayu Rebus · 1 potong sedang · Nasional/Serealia & Umbi · src:TKPI · conf:high
idn-sohun-rebus,Sohun Rebus,83.0,0.1,0.0,20.3,0.3,3,0.4,3,100,Olahan,Bahan Pokok,,120,Bihun Tang Hoon Soun Suun Rebus,Cooked Mung Bean Glass Noodles · Bihun Tang Hoon Soun Suun Rebus · 1 porsi · Nasional/Mie & Bihun · src:USDA analog · conf:high
idn-talas-rebus,Talas Rebus,142.0,0.5,0.1,34.6,5.1,18,0.7,15,100,Olahan,Bahan Pokok,,100,Keladi Rebus Talas Kukus,Boiled Taro · Keladi Rebus Talas Kukus · 1 potong sedang · Nasional/Serealia & Umbi · src:USDA analog · conf:high
idn-ubi-jalar-bakar,Ubi Jalar Bakar,100.0,1.8,0.1,23.5,3.3,30,0.7,30,100,Olahan,Bahan Pokok,,110,Ubi Bakar Ubi Panggang,Baked Sweet Potato · Ubi Bakar Ubi Panggang · 1 buah sedang · Nasional/Serealia & Umbi · src:USDA analog · conf:high
idn-ubi-jalar-rebus,Ubi Jalar Rebus,86.0,1.6,0.1,20.1,3.0,27,0.7,27,100,Olahan,Bahan Pokok,,120,Ubi Manis Rebus Ubi Rebus,Boiled Sweet Potato · Ubi Manis Rebus Ubi Rebus · 1 buah sedang · Nasional/Serealia & Umbi · src:USDA analog · conf:high
idn-ubi-nuabosi,Ubi Nuabosi,155.0,1.0,0.3,37.0,1.8,30,0.7,12,100,Mentah,Bahan Pokok,,150,Singkong Nuabosi Ubi Nuabosi Ende,Ende Steamed Nuabosi Cassava · Singkong Nuabosi Ubi Nuabosi Ende · 1 potong · Nusa Tenggara Timur/Serealia & Umbi · src:Recipe calc · conf:medium
idn-ikan-roa-asap,Ikan Roa Asap,240.0,45.0,6.5,0.0,0.0,250,3.5,950,100,Olahan,Bahan Pokok,,25,Ikan Galafea Ikan Julung-Julung Asap Sagela,Smoked Halfbeak Fish · Ikan Galafea Ikan Julung-Julung Asap Sagela · 1 ekor · Sulawesi Utara/Ikan · src:Recipe calc · conf:medium
idn-ikan-tuna-segar,Ikan Tuna Segar,109.0,23.5,1.5,0.0,0.0,8,1.1,45,100,Mentah,Bahan Pokok,,100,Ikan Madidihang Tuna Sirip Kuning,Fresh Yellowfin Tuna · Ikan Madidihang Tuna Sirip Kuning · 1 potong sedang · Sulawesi Utara/Ikan · src:TKPI · conf:high
idn-kacang-kenari,Kacang Kenari,610.0,13.0,58.0,10.0,5.0,80,3.0,10,100,Mentah,Bahan Pokok,,30,Buah Kenari Kenari,Canarium Nut · Buah Kenari Kenari · 1 genggam · Sulawesi Utara/Kacang & Camilan · src:USDA analog · conf:medium
idn-martabak-aceh,Martabak Aceh,260.0,10.5,15.0,20.0,1.2,40,2.0,480,100,Olahan,Jajanan & Gorengan,,150,Martabak Daging Aceh Martabak Telur Aceh,Acehnese Egg & Beef Martabak · Martabak Daging Aceh Martabak Telur Aceh · 1 porsi · Aceh/Martabak · src:Recipe calc · conf:medium
idn-rujak-kuah-pindang,Rujak Kuah Pindang,70.0,1.5,0.4,15.5,2.0,25,0.6,380,100,Olahan,Jajanan & Gorengan,,200,Rujak Bulung Kuah Pindang Rujak Kuah Pindang Bali,Balinese Fruit Rujak With Fish Broth Sauce · Rujak Bulung Kuah Pindang Rujak Kuah Pindang Bali · 1 porsi · Bali/Soto & Sup · src:Recipe calc · conf:medium
idn-biji-ketapang,Biji Ketapang,470.0,6.0,22.0,62.0,2.0,40,1.5,150,100,Olahan,Jajanan & Gorengan,,35,Ketapang Betawi Kue Biji Ketapang,Fried Coconut Almond Shaped Cookie · Ketapang Betawi Kue Biji Ketapang · 1 genggam · DKI Jakarta/Kue Kering · src:Recipe calc · conf:high
idn-kembang-goyang,Kembang Goyang,476.0,5.0,24.0,60.0,1.5,40,1.5,150,100,Olahan,Jajanan & Gorengan,,30,Kembang Goyang Betawi Kue Kembang Goyang,Crisp Flower-Shaped Fried Rice Cracker · Kembang Goyang Betawi Kue Kembang Goyang · 5 buah · DKI Jakarta/Kue Basah · src:Recipe calc · conf:high
idn-kue-akar-kelapa,Kue Akar Kelapa,474.0,4.0,22.0,65.0,1.5,30,1.2,130,100,Olahan,Jajanan & Gorengan,,35,Akar Kelapa Akar Kelapa Betawi Kue Procot,Fried Ridged Coconut Root Cookie · Akar Kelapa Akar Kelapa Betawi Kue Procot · 1 genggam · DKI Jakarta/Kue Kering · src:Recipe calc · conf:high
