code,name,water_g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitc_mg,bdd_pct,state,group,portion_g_cooked,note
kt-roti-bakar-srikaya-butter,Roti Bakar Srikaya + Butter,,318,6.2,12.5,46.0,1.8,,62,78,1.7,380,115,,0.6,,,,,,,0,100,Olahan,Kue/Dessert,120,"Kaya Butter Toast · 2 slice roti + srikaya + butter · conf:high · Angka standar kopitiam: roti putih panggang, srikaya ~25g, butter ~10g. Added sugar ~13g/porsi. · per100: gula 16.5g, lemak jenuh 6.8g, kolesterol 48mg, Mg 16mg"
kt-roti-bakar-srikaya,Roti Bakar Srikaya (tanpa butter),,272,6.5,4.8,50.5,2.0,,58,75,1.8,350,110,,0.6,,,,,,,0.0,100,Olahan,Kue/Dessert,110,"Kaya Toast (no butter) · 2 slice + srikaya · conf:high · per100: gula 17.0g, lemak jenuh 2.2g, kolesterol 22mg, Mg 16mg"
kt-srikaya-jam,Selai Srikaya / Kaya,,285,3.2,7.5,52.0,0.4,,28,55,0.6,65,105,,0.3,,,,,,,0.0,100,Olahan,Kue/Dessert,20,"Kaya (coconut-egg jam) · 1 sdm penuh (~20g) · conf:high · Hampir semua gulanya added sugar. · per100: gula 47.0g, lemak jenuh 5.8g, kolesterol 62mg, Mg 12mg"
kt-roti-srikaya-kukus,Roti Srikaya Kukus,,295,6.0,8.5,49.0,1.5,,55,72,1.5,320,110,,0.5,,,,,,,0.0,100,Olahan,Kue/Dessert,100,"Steamed Kaya Bread · 1 porsi (2 potong) · conf:med · per100: gula 18.0g, lemak jenuh 5.0g, kolesterol 40mg, Mg 15mg"
kt-butter-sugar-toast,Roti Bakar Gula Butter,,340,6.8,13.5,48.0,2.0,,118,82,2.6,420,105,,0.6,,,,,,,0.0,100,Olahan,Kue/Dessert,100,"Butter Sugar Toast · 2 slice · conf:high · Roti putih + butter 12g + gula pasir 10g. · per100: gula 15.0g, lemak jenuh 8.0g, kolesterol 32mg, Mg 17mg"
kt-peanut-butter-toast,Roti Bakar Selai Kacang,,352,11.5,15.8,43.0,3.0,,105,140,2.6,445,250,,1.2,,,,,,,0.0,100,Olahan,Kue/Dessert,110,"Peanut Butter Toast · 2 slice + PB 25g · conf:high · per100: gula 11.0g, lemak jenuh 3.6g, kolesterol 0mg, Mg 45mg"
kt-cheese-toast,Roti Bakar Keju,,330,12.5,13.0,40.0,1.8,,260,220,2.2,620,120,,1.3,,,,,,,0.0,100,Olahan,Kue/Dessert,110,"Cheese Toast · 2 slice + keju 30g · conf:high · per100: gula 7.0g, lemak jenuh 7.5g, kolesterol 32mg, Mg 20mg"
kt-coklat-meses-toast,Roti Bakar Coklat Meses,,365,6.5,14.0,53.0,2.5,,90,105,2.8,400,160,,0.8,,,,,,,0.0,100,Olahan,Kue/Dessert,110,"Chocolate Sprinkles Toast · 2 slice + butter + meses · conf:med · per100: gula 22.0g, lemak jenuh 8.5g, kolesterol 30mg, Mg 30mg"
kt-french-toast-kaya,Roti Telur (French Toast) + Srikaya,,295,8.5,12.0,38.0,1.5,,70,120,1.9,360,130,,0.8,,,,,,,0.0,100,Olahan,Kue/Dessert,140,"Kaya French Toast · 2 slice, celup telur · conf:med · per100: gula 12.5g, lemak jenuh 5.5g, kolesterol 118mg, Mg 15mg"
kt-telur-setengah-matang,Telur Setengah Matang (2 butir),,148,12.6,9.5,0.8,0,,56,198,1.75,260,140,,1.3,,,,,,,0,100,Olahan,Kue/Dessert,100,"Soft-Boiled Eggs (2) · 2 butir + kecap asin/merica · conf:high · Sodium sudah termasuk kecap asin ~1 sdt. · per100: gula 0.4g, lemak jenuh 3.1g, kolesterol 372mg, Mg 12mg"
